"Batter","Total_PA","Total_AB","Walks","xOBP","xBA","xSLG","K_percentage","BB_percentage","Strikeouts","Hits","Singles","Doubles","Triples","HomeRuns","xHomeRuns","x1B","x2B","x3B","Errors","OBP","BA","SLG","OPS","xOPS","wOBA","xWOBA","xBA_plus","xOBP_plus","xSLG_plus","xOPS_plus","K_percentage_plus","BB_percentage_plus","wOBA_plus","xWOBA_plus"
"Jason Dicochea",302,292,5,0.294087742947146,0.287035953322048,0.466542376931213,0.175496688741722,0.0165562913907285,53,79,44,19,3,13,9.95925790963154,53.1337186413664,18.9049416730989,1.81658014594125,3,0.278145695364238,0.270547945205479,0.48972602739726,0.767871722761499,0.760630119878359,0.309651421582266,0.312745449033747,118.580042296477,101.291457457388,119.906239715443,111.95162844858,79.9312865659827,24.6579176769458,104.471694880438,106.831038975466
"Bryan Leef",136,125,9,0.284521665362184,0.237559571914057,0.476068793138228,0.389705882352941,0.0661764705882353,53,26,12,4,0,10,7.54286751464813,15.5755149439114,5.96807795231808,0.608486078379466,4,0.257352941176471,0.208,0.48,0.737352941176471,0.760590458500412,0.297717431506865,0.312583184189296,98.1404028292434,97.9966518629047,122.354627690103,111.945790978131,177.494474580344,98.5591474204982,100.445347565471,106.775610760681
"Justin Gideon",357,327,23,0.288789612951458,0.244947681417953,0.469090189581737,0.252100840336134,0.0644257703081232,90,77,43,13,2,19,17.8381475489949,44.1691089592602,16.4011131082582,1.68952220715721,4,0.280112044817927,0.235474006116208,0.46177370030581,0.741885745123738,0.757879802533195,0.305019060968364,0.312422436687556,101.192572173618,99.4666438705178,120.561054046423,111.546829193995,114.821223448201,95.9517625681041,102.908806642564,106.720700856551
"Tucker Nathans",325,313,11,0.293685208236236,0.269800935069574,0.455905415981548,0.203076923076923,0.0338461538461538,66,89,55,21,1,12,11.6476447174814,51.3782347970589,19.5358579514692,1.88595521076716,2,0.307692307692308,0.284345047923323,0.472843450479233,0.780535758171541,0.749590624217784,0.325791891198139,0.31228817695538,111.459926611645,101.152814047307,117.172430199867,110.326805181458,92.4929116884277,50.4083707832702,109.917244616073,106.674838936816
"Nate Scantlin",351,331,18,0.312863915572212,0.277387415002557,0.402225282021313,0.148148148148148,0.0512820512820513,52,99,70,20,3,6,6.91262507017186,65.8631360375717,17.4954877435129,1.54398551458988,4,0.333333333333333,0.299093655589124,0.43202416918429,0.765357502517623,0.715089197593525,0.329407153008992,0.309142387800191,114.594046574398,107.758459011432,103.376077866492,105.248790528288,67.4751881004242,76.3763193685912,111.13697913848,105.600265590074
"Wagner Lagrange",280,263,11,0.291118581814271,0.268111037672988,0.455191790079659,0.196428571428571,0.0392857142857143,55,67,33,18,1,15,9.72763323072245,42.4090067680893,16.7337876275811,1.64277528160298,2,0.278571428571429,0.254752851711027,0.501901140684411,0.780472569255839,0.74631037189393,0.314369305502695,0.30838557814193,110.761797675375,100.268801240706,116.989020926261,109.844008642404,89.4648699367232,58.5097160877244,106.063437385277,105.341746202027
"Pavin Parks",329,293,34,0.301962281102408,0.223022493114991,0.409110629321217,0.243161094224924,0.103343465045593,80,60,39,13,0,8,12.6316991186974,37.4706282670184,13.8577996416213,1.38546345535532,2,0.285714285714286,0.204778156996587,0.331058020477816,0.616772306192101,0.711072910423625,0.278284334120001,0.308330340823923,92.1348575346219,104.003652935367,105.145683683003,104.657662360684,110.749548857839,153.913373074091,93.8889151408807,105.322877629867
"Phillip Steering",249,229,19,0.30645580996857,0.250251077214733,0.405372832607884,0.21285140562249,0.0763052208835341,53,52,39,11,0,2,7.03713115955973,37.0158898038083,12.0974629312593,1.15701278754659,0,0.285140562248996,0.22707423580786,0.301310043668122,0.586450605917118,0.711828642576454,0.267419786377527,0.308285375053781,103.383506412409,105.551340994105,104.185031080201,104.768893092901,96.9447732647662,113.644282433988,90.2233814547578,105.307517726286
"Taylor Wright",256,244,9,0.293027327954157,0.270553262115837,0.445469094701524,0.203125,0.03515625,52,70,49,13,0,8,8.3019850318143,41.3772459474914,14.8980218984526,1.43774307850608,2,0.30859375,0.286885245901639,0.438524590163934,0.747118340163934,0.738496422655682,0.315420200254001,0.307808950340165,111.770727303803,100.926222990038,114.490187164666,108.693930149619,92.514808684566,52.3595470671397,106.41799334129,105.144775319302
"Tj White",342,310,30,0.300863084837729,0.235145725853236,0.41236108934216,0.207602339181287,0.087719298245614,71,72,38,14,1,19,11.8651628498118,43.3016671520689,16.115415893114,1.6129291195084,1,0.298245614035088,0.232258064516129,0.467741935483871,0.765987549518959,0.713224174179888,0.320970554203138,0.30747456750716,97.1431968532096,103.625061190722,105.981085690898,104.974291264066,94.5540464828313,130.643704183117,108.290598612371,105.030553144124
