"Batter","Total_PA","Total_AB","Walks","xOBP","xBA","xSLG","K_percentage","BB_percentage","Strikeouts","Hits","Singles","Doubles","Triples","HomeRuns","xHomeRuns","x1B","x2B","x3B","Errors","OBP","BA","SLG","OPS","xOPS","wOBA","xWOBA","xBA_plus","xOBP_plus","xSLG_plus","xOPS_plus","K_percentage_plus","BB_percentage_plus","wOBA_plus","xWOBA_plus","Hard_Hit_Percentage","Avg_ExitSpeed","Avg_Angle"
"Dalton Combs",203,186,13,0.317312217065298,0.276421398194922,0.395810952232013,0.083743842364532,0.0640394088669951,17,56,35,16,0,5,2.98598145904916,36.3748198847455,10.85864476717,1.19493395329081,2,0.339901477832512,0.301075268817204,0.467741935483871,0.807643413316383,0.713123169297311,0.352508287778495,0.318184397445959,114.194966554691,109.290569588123,101.727528445561,104.95942508826,38.1417627316437,95.3763397041275,118.930951763244,108.688934946792,0.273224043715847,86.374710110017,21.4809696941892
"Tommy Caufield",235,209,24,0.311803858859571,0.235760319770331,0.394446458153457,0.246808510638298,0.102127659574468,58,59,35,13,4,7,6.80599167702036,30.9999980681293,10.1884062826865,1.27951080416287,1,0.353191489361702,0.282296650717703,0.483253588516746,0.836445077878449,0.706250317013027,0.366618911692743,0.317859700526465,97.397097355362,107.39334794514,101.376839285983,103.947859827821,112.410792090707,152.102627508514,123.691662334535,108.578021392754,0.3,85.869498761485,21.2925640082544
"David Vinsky",276,249,23,0.303937954870013,0.244525604594874,0.411091387670493,0.282608695652174,0.0833333333333333,78,53,35,9,0,9,8.29932883792298,37.7373641570606,13.1234716262201,1.72671092292003,4,0.27536231884058,0.21285140562249,0.357429718875502,0.632792037716082,0.715029342540506,0.283623460531692,0.315593968030551,101.018204165173,104.684126298097,105.654759165082,105.239980897323,128.716255561135,124.111518973961,95.6902554433411,107.804067503651,0.395209580838323,89.312000803105,18.9736146443038
"Brian Fuentes",197,165,30,0.324671486284308,0.205819895745507,0.340357149362233,0.263959390862944,0.152284263959391,52,39,27,8,0,4,4.14636924922075,21.045626543024,7.77703491243038,0.991252093333539,1,0.350253807106599,0.236363636363636,0.357575757575758,0.707829564682357,0.665028635646541,0.335767365780994,0.315065363384788,85.02813553665,111.825293060596,87.4753247684293,97.8807396392271,120.222289458116,226.802775789979,113.28281849777,107.62350090008,0.296875,83.6786809672293,27.3792899246285
"Ramon Jimenez",145,127,16,0.317188190782885,0.236159745382033,0.371187715957865,0.317241379310345,0.110344827586207,46,31,23,5,0,3,3.09051224049845,19.8092343294277,6.30806664554893,0.784474448043129,1,0.324137931034483,0.244094488188976,0.354330708661417,0.6784686396959,0.688375906740749,0.315297853923138,0.314991797833729,97.5621077151509,109.247851714937,95.3991008101582,101.317055071023,144.489971759874,164.340769951727,106.376715544203,107.598371567978,0.32967032967033,86.0756571231991,20.9930217869117
"Tj Reeves",151,140,11,0.288269170566343,0.232347462539412,0.436192617559981,0.291390728476821,0.0728476821192053,44,39,22,10,1,6,6.57088331052368,18.1040787448639,6.88169362895168,0.971989071178449,0,0.33112582781457,0.278571428571429,0.492857142857143,0.823982970671712,0.724461788126324,0.356543589135207,0.313950919949519,95.9871807574225,99.2873899948457,112.106036127486,106.628274124199,132.716098449179,108.494837778562,120.29240126002,107.242817023026,0.357142857142857,87.7548555750639,24.036049440887
"Peyton Isaacson",183,168,10,0.309836765219245,0.277976952590011,0.399004904495674,0.153005464480874,0.0546448087431694,28,44,31,10,1,2,2.85652928151234,33.1774014461468,9.56928653931074,1.09691076815189,1,0.295081967213115,0.261904761904762,0.369047619047619,0.664129586260734,0.708841669714919,0.295505292471047,0.312933226395558,114.837595827537,106.715829801109,102.548407372542,104.329262229961,69.6874893496185,81.3846026058759,99.6990053939984,106.895182037244,0.281879194630872,86.4690311993766,19.0672306306626
"Marc-antoine Lebreux",173,142,31,0.336014093768891,0.191059424098719,0.275817188978593,0.294797687861272,0.179190751445087,51,30,21,6,0,3,1.91260480755038,19.5134209051194,5.11103682840564,0.593375680942669,1,0.352601156069364,0.211267605633803,0.316901408450704,0.669502564520068,0.611831282747484,0.330160633380453,0.309431610987408,78.930302383922,115.731981697011,70.8878841764531,90.0510072495137,134.267823720064,266.875636175222,111.391191991964,105.69906163549,0.290322580645161,83.2663351401949,13.7941848069325
"Chris Kwitzer",284,272,10,0.288726414863008,0.264699639048141,0.426805200523874,0.211267605633803,0.0352112676056338,60,78,54,16,1,7,8.49993928952512,46.7972856612622,14.8092588877899,1.89181798251712,1,0.309859154929577,0.286764705882353,0.430147058823529,0.740006213753107,0.715531615386882,0.323384897953502,0.308953910639688,109.352483655502,99.4448768073159,109.693372384389,105.313906793245,96.2234196502529,52.441486890406,109.105161588816,105.535883483342,0.308333333333333,85.7631750795715,18.3046850264391
"Brennen Dorighi",150,137,13,0.299406172880186,0.232926466657138,0.387358314071755,0.306666666666667,0.0866666666666667,46,32,18,9,1,4,4.16214889853418,19.9668605920185,6.89311648275039,0.888799958724828,2,0.3,0.233576642335766,0.401459854014599,0.701459854014599,0.686764486951941,0.31244473297717,0.308248025331813,96.2263784327488,103.123262869963,99.5551125888526,101.079881884271,139.673639367878,129.075979732919,105.414115794455,105.294759396419,0.37,87.0199742574994,20.7694030851259
"Chase Dawson",255,233,18,0.310811082091115,0.262904832331478,0.365957989864257,0.117647058823529,0.0705882352941176,30,57,38,11,5,3,2.91066796431186,44.4059799893006,12.6009741470422,1.33920383257978,1,0.294117647058824,0.244635193133047,0.373390557939914,0.667508204998738,0.676769071955372,0.297382161706551,0.30683770921344,108.611014672565,107.051409839189,94.055006850782,99.6087292745582,53.5832376091604,105.129757248531,100.332232618017,104.813008065823,0.20873786407767,86.6803793421807,23.0303437485579
"Christian Kuzemka",210,195,13,0.303182066768827,0.259837097545916,0.378051572948093,0.176190476190476,0.0619047619047619,37,42,30,4,3,5,3.59750213383431,35.9826213551893,9.91690476293832,1.17120576949166,2,0.261904761904762,0.215384615384615,0.343589743589744,0.605494505494506,0.68123363971692,0.269388264863989,0.305492172293472,107.34367475777,104.423778802222,97.1631833937306,100.265836609861,80.247277276576,92.1971283806566,90.8875162511217,104.353384728108,0.281609195402299,83.2513019600072,19.0577381901191
"Luis Curbelo",184,172,10,0.27423494742024,0.235228083286768,0.44009620726678,0.206521739130435,0.0543478260869565,38,34,17,10,1,6,8.1056889128954,22.6283376182593,8.53015700246316,1.19504679170627,2,0.239130434782609,0.197674418604651,0.372093023255814,0.611223458038423,0.714331154687019,0.263086223422847,0.304003041505921,97.1772202842073,94.4536390111931,113.10929925272,105.137219693003,94.0618790639066,80.9422949830179,88.761303016903,103.844711013763,0.361344537815126,86.885870944651,21.1027287911182
"Steve Brown",139,124,9,0.290572685903859,0.253141962424487,0.402286617029322,0.194244604316547,0.0647482014388489,27,25,19,4,0,2,3.38718430116313,20.4995104409952,6.67343292944579,0.829475669032208,1,0.244604316546763,0.201612903225806,0.282258064516129,0.526862381062892,0.692859302933181,0.239962126210699,0.300400277109275,104.577786384933,100.080780509779,103.391841601014,101.976933626455,88.4701656928224,96.4319715768904,80.9595832121343,102.614039025197,0.277227722772277,83.2618310080218,26.5268286153718
"Luis Atiles",150,133,16,0.320317409696431,0.240959484620035,0.301148677599745,0.153333333333333,0.106666666666667,23,31,27,1,1,2,0.572680046361692,25.6756199236548,5.31150044167998,0.487811042768176,3,0.313333333333333,0.233082706766917,0.300751879699248,0.614085213032581,0.621466087296176,0.294302849513204,0.299079690915487,99.5449717963475,110.325635988705,77.3983400260075,91.4690842238812,69.8368196839391,158.86274428667,99.2933193707888,102.16293863165,0.117117117117117,82.0943429984179,17.156911369249
"Tyler Depreta-johnson",229,201,26,0.316208421736056,0.230904122276403,0.294736232083216,0.139737991266376,0.11353711790393,32,47,35,10,1,1,0.80728175184322,36.0013280754831,8.79782868482148,0.805290065409143,0,0.318777292576419,0.233830845771144,0.308457711442786,0.627235004019205,0.610944653819272,0.300366125842439,0.295205519537338,95.3909092887962,108.910393806184,75.7502748827621,89.9205107706748,63.6447189069504,169.095169955789,101.338976876273,100.839556453667,0.121387283236994,84.0215537998001,23.8749014042678
"Ed Johnson",146,134,12,0.300755683589107,0.238136789582162,0.330358369424986,0.157534246575342,0.0821917808219178,23,41,27,10,2,2,1.4789876568759,23.2256952535186,6.49056505891966,0.715081834695536,1,0.363013698630137,0.305970149253731,0.455223880597015,0.818237579227152,0.631114053014093,0.365966108059339,0.293258785987932,98.3788624880632,103.588069411001,84.905534405754,92.8890982952535,71.7501572095264,122.411361179797,123.471416286067,100.174569742161,0.204724409448819,79.5711469949435,20.7183690156887
"Jamey Smart",193,171,14,0.297448872245694,0.253845803177889,0.355658616446157,0.181347150259067,0.0725388601036269,35,34,26,7,0,1,2.1515741510773,31.2814119311692,8.99402390670297,0.980622354469546,1,0.248704663212435,0.198830409356725,0.257309941520468,0.506014604732903,0.653107488691852,0.236787368313289,0.293050384581899,104.868556462139,102.44911769151,91.4079608394149,96.1261525151125,82.5959232576437,108.034897345209,79.8884680314492,100.103381691946,0.218390804597701,84.0156862894321,23.4278204625636
"Alec Olund",127,118,6,0.27568562310529,0.245865035037049,0.404193917117987,0.267716535433071,0.047244094488189,34,29,20,6,0,3,3.64891559016728,18.4220823012237,6.14609117091268,0.794985072068101,1,0.275590551181102,0.245762711864407,0.372881355932203,0.648471907113306,0.679879540223277,0.284655653477922,0.29297426716652,101.571548499386,94.953289397721,103.882037546654,100.066536530318,121.933509205097,70.3624359537415,96.0385016938678,100.07738066589,0.315217391304348,86.8706159984505,22.5235797285852
"Anthony Quirion",139,120,17,0.299217147189608,0.204926528827963,0.324709641965949,0.287769784172662,0.122302158273381,40,19,14,5,0,0,2.38938741323936,15.7259452974042,5.74589016058361,0.729960588128334,0,0.258992805755396,0.158333333333333,0.2,0.458992805755396,0.623926789155558,0.235399592634129,0.292437695378578,84.6590685760738,103.058157512278,83.4537527407193,91.8312570764738,131.066912137515,182.149279645237,79.4202535579783,99.8940925580441,0.363636363636364,84.9210082879094,25.9571075108509
"Wagner Lagrange",162,157,5,0.268725140005807,0.245436131725737,0.408391247688004,0.185185185185185,0.0308641975308642,30,35,19,11,0,5,4.88930779001419,23.853561196971,8.66517755187776,1.12542614207777,1,0.246913580246914,0.222929936305732,0.388535031847134,0.635448612094047,0.677116387693811,0.272851202787637,0.291758293440609,101.394360338085,92.5559182230888,104.960795126627,99.6598481580837,84.3439851255303,45.9672292496151,92.0558590034351,99.6620149526325,0.299270072992701,87.2154573205157,27.5390200994969
